date,store,city,category,sales,transactions,is_festival,is_weekend,month,year,day_of_week
2021-01-01,Mumbai_Andheri,Mumbai,Groceries,466148.11,5389,1,0,1,2021,4
2021-01-01,Mumbai_Andheri,Mumbai,FMCG,355211.96,4913,1,0,1,2021,4
2021-01-01,Mumbai_Andheri,Mumbai,Dairy,199007.37,5892,1,0,1,2021,4
2021-01-01,Mumbai_Andheri,Mumbai,Apparel,207055.55,4786,1,0,1,2021,4
2021-01-01,Mumbai_Andheri,Mumbai,Electronics,218931.8,4789,1,0,1,2021,4
2021-01-01,Mumbai_Andheri,Mumbai,Home_Care,92001.65,5170,1,0,1,2021,4
2021-01-02,Mumbai_Andheri,Mumbai,Groceries,425138.31,5367,1,1,1,2021,5
2021-01-02,Mumbai_Andheri,Mumbai,FMCG,312960.83,5904,1,1,1,2021,5
2021-01-02,Mumbai_Andheri,Mumbai,Dairy,188596.95,4847,1,1,1,2021,5
2021-01-02,Mumbai_Andheri,Mumbai,Apparel,207178.55,5573,1,1,1,2021,5
2021-01-02,Mumbai_Andheri,Mumbai,Electronics,209316.02,4840,1,1,1,2021,5
2021-01-02,Mumbai_Andheri,Mumbai,Home_Care,89340.35,5779,1,1,1,2021,5
2021-01-03,Mumbai_Andheri,Mumbai,Groceries,516130.48,5658,1,1,1,2021,6
2021-01-03,Mumbai_Andheri,Mumbai,FMCG,358968.59,5658,1,1,1,2021,6
2021-01-03,Mumbai_Andheri,Mumbai,Dairy,234070.06,6039,1,1,1,2021,6
2021-01-03,Mumbai_Andheri,Mumbai,Apparel,208703.82,6581,1,1,1,2021,6
2021-01-03,Mumbai_Andheri,Mumbai,Electronics,110550.29,6183,1,1,1,2021,6
2021-01-03,Mumbai_Andheri,Mumbai,Home_Care,93726.02,5187,1,1,1,2021,6
2021-01-04,Mumbai_Andheri,Mumbai,Groceries,395129.54,4277,1,0,1,2021,0
2021-01-04,Mumbai_Andheri,Mumbai,FMCG,272869.58,4064,1,0,1,2021,0
2021-01-04,Mumbai_Andheri,Mumbai,Dairy,154754.99,3876,1,0,1,2021,0
2021-01-04,Mumbai_Andheri,Mumbai,Apparel,161451.95,4675,1,0,1,2021,0
2021-01-04,Mumbai_Andheri,Mumbai,Electronics,88929.82,3406,1,0,1,2021,0
2021-01-04,Mumbai_Andheri,Mumbai,Home_Care,77753.61,4026,1,0,1,2021,0
2021-01-05,Mumbai_Andheri,Mumbai,Groceries,347956.3,4353,1,0,1,2021,1
2021-01-05,Mumbai_Andheri,Mumbai,FMCG,251641.71,3567,1,0,1,2021,1
2021-01-05,Mumbai_Andheri,Mumbai,Dairy,143762.25,4059,1,0,1,2021,1
2021-01-05,Mumbai_Andheri,Mumbai,Apparel,151242.76,3718,1,0,1,2021,1
2021-01-05,Mumbai_Andheri,Mumbai,Electronics,77056.87,3455,1,0,1,2021,1
2021-01-05,Mumbai_Andheri,Mumbai,Home_Care,64678.94,4261,1,0,1,2021,1
2021-01-06,Mumbai_Andheri,Mumbai,Groceries,354464.37,4031,1,0,1,2021,2
2021-01-06,Mumbai_Andheri,Mumbai,FMCG,257593.29,3388,1,0,1,2021,2
2021-01-06,Mumbai_Andheri,Mumbai,Dairy,154554.51,4239,1,0,1,2021,2
2021-01-06,Mumbai_Andheri,Mumbai,Apparel,101422.54,4250,1,0,1,2021,2
2021-01-06,Mumbai_Andheri,Mumbai,Electronics,72739.83,3960,1,0,1,2021,2
2021-01-06,Mumbai_Andheri,Mumbai,Home_Care,71345.22,3523,1,0,1,2021,2
2021-01-07,Mumbai_Andheri,Mumbai,Groceries,280862.75,3280,0,0,1,2021,3
2021-01-07,Mumbai_Andheri,Mumbai,FMCG,221056.56,3892,0,0,1,2021,3
